GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,null,1972,1972,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,3,null,null,null,null,null,null
CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,null,1987,1987,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,2,null,null,null,null,null,null
CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,null,1990,1990,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,5,null,null,null,null,null,null
CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,null,1994,1994,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,2,null,null,null,null,null,null
CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,null,1995,1995,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,2,null,null,null,null,null,null
CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,null,1998,1998,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,1,null,null,null,null,null,1 of 1 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,null,1999,1999,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,1,null,null,null,null,null,1 of 1 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,null,2001,2001,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,1,null,null,null,null,null,1 of 1 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/42,PUBLISHED,Published,null,2005,2005,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,1,null,null,null,null,null,1 of 1 reported cases are imported.
CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,null,1972,1972,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,1,1,null,null,null,null,null
CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,null,1987,1987,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,0,0,null,null,null,null,null
CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,null,1990,1990,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,0,0,null,null,null,null,null
CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,null,1994,1994,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,0,0,null,null,null,null,null
CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,null,1995,1995,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,0,0,null,null,null,null,null
CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,null,1998,1998,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,0,0,null,null,null,null,null
